step,train_loss,train_bpc,avg_val_loss,avg_val_bpc
1,8.764997482299805,12.645218401118179,,
2,8.636448860168457,12.459761941456174,,
3,8.497553825378418,12.259378763560484,,
4,8.444605827331543,12.18299094935326,,
5,8.192197799682617,11.81884313958359,8.1228853225708,11.718846372582641
6,8.176692962646484,11.79647438808177,,
7,8.146064758300781,11.75228722956089,,
8,7.942004680633545,11.457890767466951,,
9,7.812405109405518,11.270918108754941,,
10,7.549336910247803,10.891390922414514,7.527978801727295,10.86057768516921
11,7.555695056915283,10.900563789080934,,
12,7.496466636657715,10.815115240895652,,
13,7.2246198654174805,10.42292325214569,,
14,7.135405540466309,10.294214187962378,,
15,6.89204740524292,9.943122613115609,6.988165950775146,10.081792362092411
16,6.824082851409912,9.845070488344497,,
17,7.0381388664245605,10.153888039678584,,
18,6.68703556060791,9.647353041537182,,
19,6.722752094268799,9.69888110752749,,
20,6.7221856117248535,9.698063845970589,6.580888652801514,9.494215424039195
21,6.56550407409668,9.472020168635565,,
22,6.306391716003418,9.09820005458137,,
23,6.570253372192383,9.47887195744594,,
24,6.488224029541016,9.36052863159543,,
25,6.37834358215332,9.202004655058541,6.442058658599853,9.293926079877815
26,6.338930606842041,9.14514375103028,,
27,6.472469329833984,9.337799404457401,,
28,6.376718521118164,9.19966018756198,,
29,6.226151466369629,8.982437844355012,,
30,6.180905818939209,8.917162173185334,6.339718437194824,9.146280349973303
31,6.158310413360596,8.884563893610194,,
32,6.011373996734619,8.672579454017903,,
33,6.3321051597595215,9.13529671237248,,
34,6.367475509643555,9.186325340744682,,
35,6.265323638916016,9.038951343428531,6.290041446685791,9.074611602119631
36,6.1787943840026855,8.914116016473253,,
37,6.031687259674072,8.701885297724926,,
38,6.240268707275391,9.002804717800789,,
39,6.2484588623046875,9.014620613845667,,
40,5.950865268707275,8.585283812162356,6.139930152893067,8.858046782983443
41,5.817868709564209,8.393410335831357,,
42,6.210244178771973,8.959488479423879,,
43,6.2122802734375,8.962425943100616,,
44,6.156421184539795,8.88183831255932,,
45,5.862033843994141,8.457127156253614,6.237878131866455,8.999355846513446
46,6.039744853973389,8.713509949062045,,
47,6.09815788269043,8.797782135915424,,
48,6.1985578536987305,8.942628676194495,,
49,6.092089653015137,8.789027531055904,,
50,6.017111778259277,8.680857322969231,6.262991237640381,9.03558639967481
